Housing,Stop Initiation of Evictions overall or due to COVID related issues,10/2/2020
,Resume initiation of some evictions,
,Stop enforcement of evictions overall or due to COVID related issues,
,Statewide suspension of non-emergent eviction hearings as a result of court closure,
,Resumed non-emergent eviction hearings as a result of court reopening,
,End Eviction Moratorium,
,Renter grace period or use of security deposit to pay rent,
,Froze mortgage payments,
,Freeze utility shut offs,
,Order freezing gas utility shut offs,
,Order lifting a freeze on gas utility shut offs,
,Order re-implementing freezes on gas utility shut offs,
,Order freezing electric utility shut offs,
,Order lifting a freeze on electric utility shut offs,
,Order re-implementing freezes on electric utility shut offs,
,Order freezing water utility shut offs,
,Order lifting a freeze on water utility shut offs,
,Order re-implementing freezes on water utility shut offs,
,Order freezing telecom utility shut offs,
,Order lifting a freeze on telecom utility shut offs,
,Order re-implementing freezes on telecom utility shut offs,
Unemployment Programs,"Prior to pandemic, no state unemployment waiting period or date waiting period waived not found",9/15/2020
,Waived one week waiting period for unemployment insurance,
,Waived work search requirement for unemployment insurance,
,Reinstated work search requirement,
,Expand eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined,
,Expand eligibility to high-risk individuals in preventative quarantine,
,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,
,Extend the amount of time an individual can be on unemployment insurance,
,Weekly unemployment insurance maximum amount (dollars),
,"Weekly unemployment insurance maximum amount with extra stimulus (through July 21, 2020) (dollars)",
,Unemployment insurance maximum duration (weeks),
,Unemployment insurance maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),
Food Security,SNAP Waiver-Emergency Allotments to Current SNAP Households,7/10/2020
,SNAP Waiver-Pandemic EBT,
,SNAP Waiver-Temporary Suspension of Claims Collection,
,2020 Q1 SNAP ABAWD Time Limit Waiver,
Healthcare Delivery,Modify Medicaid requirements with 1135 waivers (date of CMS approval),6/22/2020
,Reopened ACA enrollment using a special enrollment period ,
,State previously allowed audio-only telehealth,
,Allow audio-only telehealth,
,Allow/expand Medicaid telehealth coverage,
,State had CHIP premium non-payment lock-out period as of January 2019,
,Supend CHIP premium non-payment lock-outs,
,Suspended elective medical/dental procedures,
,Made Effort to Limit Abortion Access,
Racial Disparities,Report testing by race/ethnicity (by month),9/21/2020
,Report cases by race/ethnicity (by month),
,Report hospitalizations by race/ethnicity (by month),
,Report deaths by race/ethnicity (by month),
,Report COVID testing for American Indian/Alaska Native individuals,
,Report positive COVID tests for American Indian/Alaska Native individuals,
,Report COVID hospitalizations for American Indian/Alaska Native individuals,
,Report COVID deaths for American Indian/Alaska Native individuals,
,State has at least one American Indian/Alaskan Native reservation,
Incarcerated Individuals,Stopped personal visitation in state prisons,9/15/2020
,Stopped in-person attorney visits in state prisons,
,Began to resume visitation in state prisons,
,Does not charge copays for incarcerated individuals,
,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,
,Waived all copays during pandemic for incarcerated individuals,
,Did not waive copays for incarcerated individuals,
Substance Use Disorder Policies,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,4/13/2020
,Patients can receive 14-28 take-home doses of opioid medication,
,Home delivery of take-home medication by opioid treatment programs,
,Use of telemedicine for schedule II-V prescriptions,
,Exceptions to emergency oral prescriptions,
,Waive requirement to obtain separate DEA registration to dispense outside home state,
Pre-Covid Policies,Paid sick leave,N/A
,Medicaid Expansion,
State Characteristics,Population density per square miles,8/10/2020
,Population 2018,
,Square Miles,
,Number Homeless (2019),
,Percent Unemployed (2018),
,Percent living under the federal poverty line (2018),
,Percent at risk for serious illness due to COVID,
,All-cause deaths 2018,
,"Mental health professionals per 100,000 population in 2019",
Codebook,Definitions of variables in the database,9/28/2020
Notes/Details,Lists details of orders/explanation for how some were classified,9/28/2020
,,
,,
,,
,,
Information,,
,,
Link to archived data in original format,https://docs.google.com/spreadsheets/d/e/2PACX-1vQCcbhaOMcxbv3Hk9e5kA72S047KkTlECgJHfP6bsJj46G0aM-fu7CI_iJDt32faPw87Kmwid7HANJI/pubhtml,
"Data track dates of policy implementation, rather than when policies were passed",,
"We only record orders or directives, not guidance or recommendations",,
We only record state-wide orders,,
"We are working quickly to go through state government websites to make the policy database as complete and accurate as possible in a rapidly changing policy context. If you use data on a given policy, we encourage you to triangulate based on additional sources of policy data and to review the source documentation to consider the coding decisions that are right for your work. Of course, please email us if you note a discrepancy so we can improve the database for everyone",,
We regularly review policies and work to keep them as up to date as possible. We note the date of the last comprehensive review at the top of this page. ,,
State policy source documentation can be found here: ,tinyurl.com/statepolicysources,
,,
,,
Suggested citation:,,
"Raifman J, Nocka K, Jones D, Bor J, Lipson S, Jay J, and Chan P. (2020). ""COVID-19 US state policy database."" Available at: www.tinyurl.com/statepolicies",,
,,
Lead contacts for questions or suggested modifications,,
,,
Julia Raifman,jraifman@bu.edu,
Assistant Professor,,
"Department of Health Law, Policy & Management",,
Boston University School of Public Health,,
,,
Rachel Scheckman,rscheckm@bu.edu,
Database Manager,,
"Department of Health Law, Policy & Management",,
Boston University School of Public Health,,
,,
Funding,,
Robert Wood Johnson Foundation Evidence for Action ,,
Boston University Clinical & Translational Science Institute,,
,,
,,
,,
Contributing faculty and fellow,,
"Julia Raifman, ScD",Boston University,
"Kristen Nocka, MPH",Boston University,
"David Jones, PhD",Boston University,
"Jacob Bor, ScD",Boston University,
"Sarah Ketchen Lipson, PhD",Boston University,
"Jonathan Jay, DrPH, JD",Boston University,
"Philip Chan, MD MS",Brown University,
"Megan Cole Brahim, PHD",Boson University,
"Noa Krawczyk, PHD",NYU Langone Health,
"Alexandra Skinner, MPH",Boson University,
"Will Raderman, MSc",University College London,
,,
Contributing students,,
Carolyn Hoffman,Boston University,
Claire Corkish,Boston University,
Elizabeth Ferrara,Boston University,
Elizabeth Long,Boston University,
Emily Baroni,Boston University,
Faith Contador,Boston University,
Hannah Simon,Boston University,
Morgan Simko,Boston University,
Rachel Scheckman,Boston University,
Sarah Brewer,Boston University,
Sue Kulkarni,Boston University,
Felicia Heykoop,Boston University,
Manish Patel,Boston University,
"Aishwarya Vidyasagaran, MBBS MPH",University of York,
Andrew Chiao,Boston University,
"Cara Safon, MPH",Boston University,
Samantha Burkhart,Boston University,
Harry Jung,Bowdoin College,
Victor Lee,Bowdoin College,
Marina MacKinnon,Bowdoin College,
"Aarohi Rede, MPH",Boston University,
Marie Vearling,Boston University,
Sophie Li,Boston University,
Christina Wang,NYU,
"Tim Levengood, MPH",Boston University,
María Jordán P.,Boston University,
Joel Earlywine,Boston University,
Grace Yoon,Boston University,
Emma Chistolini,Colby College,
Claire Sontheimer,Boston University,
Christina Fuleihan,Boston University,
Hayden Tutty,Boston University,
